url,straat,huisnummer,postcode,plaats,wijk,Vraagprijs,Vraagprijs per m²,Status,Soort woonhuis,Soort bouw,Bouwjaar,Specifiek,Soort dak,Gebruiksoppervlakten,Wonen,Overige inpandige ruimte,Gebouwgebonden buitenruimte,Externe bergruimte,Perceel,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Voorzieningen,Energielabel,Isolatie,Verwarming,Warm water,Oppervlakte,Eigendomssituatie,Ligging,Tuin,Achtertuin,Ligging tuin,Schuur/berging,Soort parkeergelegenheid,Inwoners,Gezin met kinderen,Gem. vraagprijs / m²,Keurmerken,Cv-ketel,Soort garage,Capaciteit,Oorspronkelijke vraagprijs,Toegankelijkheid,Balkon/dakterras,Zijtuin,Patio/atrium,Servicekosten,Praktijkruimte,Voortuin,Verkoopdatum,Looptijd,Laatste vraagprijs,Bouwperiode,Koopmengvorm,Zonneterras,Prijs,Veilingdatum,Kantoorruimte,model_pred,is_train,error,abs_error
https://www.funda.nl/detail/koop/almere/huis-poldermolenweg-77/43370938/,Poldermolenweg,77.0,1333 BA,Almere,Molenbuurt Oost,389500.0,€ 3.509,Beschikbaar,"Eengezinswoning, hoekwoning",Bestaande bouw,1985,Gedeeltelijk gestoffeerd,Zadeldak bedekt met pannen,,111 m²,,,7 m²,180 m²,398 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Douche, toilet, en wastafel",2 woonlagen en een zolder,"Dakraam, glasvezelkabel, mechanische ventilatie, en TV kabel",C,"Dakisolatie, muurisolatie, vloerisolatie en volledig geïsoleerd",Cv-ketel,Cv-ketel,180 m²,Volle eigendom,"Aan drukke weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,"83 m² (14,65 meter diep en 5,69 meter breed)",Gelegen op het noordwesten bereikbaar via achterom,Vrijstaande houten berging,Openbaar parkeren,2.17,38%,€ 3.564,,"Gas gestookt combiketel, eigendom",,,,,,,,,,,,,,,,,,,,434121.49585333595,True,-44621.495853335946,44621.495853335946
https://www.funda.nl/detail/koop/almere/huis-markerkant-13-6/43237178/,Markerkant 13,6.0,1314 AN,Almere,Markerkant Noord,1750000.0,€ 12.324,Onder bod,"Villa, vrijstaande woning (bedrijfs- of dienstwoning)",Bestaande bouw,1997,,Plat dak bedekt met bitumineuze dakbedekking,,142 m²,,,1.885 m²,2.100 m²,490 m³,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,"Dubbele wastafel, inloopdouche, 2 toiletten, douche, en wastafelmeubel",2 woonlagen,"Elektrische deur, elektra, verwarming en stromend water",A+,"Dakisolatie, muurisolatie en vloerisolatie",Stadsverwarming,Stadsverwarming,2.100 m²,Volle eigendom,Bedrijventerrein,"Achtertuin, voortuin, zijtuin en zonneterras",,Gelegen op het zuiden,Inpandig,Op afgesloten terrein en op eigen terrein,,,,,,Inpandig,6 auto's,,,,"49 m² (16,33 meter diep en 3,00 meter breed)",,,,,,,,,,,,,,740830.110542972,True,1009169.889457028,1009169.889457028
https://www.funda.nl/detail/koop/almere/huis-chatelainestraat-50/89787647/,Chatelainestraat,50.0,1336 SC,Almere,Sieradenbuurt (brt),415000.0,€ 3.843,Beschikbaar,"Eengezinswoning, tussenwoning",Bestaande bouw,2006,,Plat dak bedekt met bitumineuze dakbedekking,,108 m²,4 m²,,,70 m²,410 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Dubbele wastafel, inloopdouche, en toilet",2 woonlagen,Elektra,A,Volledig geïsoleerd,Cv-ketel,Cv-ketel,1.475 m²,Mandelig,Aan rustige weg en in woonwijk,Achtertuin,"6 m² (2,00 meter diep en 3,00 meter breed)",Gelegen op het noordoosten,Aangebouwde houten berging,Openbaar parkeren,1.085,46%,€ 4.231,,"Gas gestookt combiketel uit 2021, eigendom",,,,,,,,,,,,,,,,,,,,420908.9456358219,True,-5908.945635821903,5908.945635821903
https://www.funda.nl/detail/koop/almere/huis-3-laagse-tussenwoning-bouwnr-36/43225024/,3-Laagse tussenwoning (Bouwnr. 36),,1362 LK,Almere,Olympiakwartier Oost (brt),595000.0,€ 4.722,Onder optie,"Eengezinswoning, tussenwoning",Nieuwbouw,Na 2020,,Plat dak,,126 m²,,,,106 m²,451 m³,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Douche, toilet, en wastafel",3 woonlagen,Elektra,A+++,Geen isolatie,Stadsverwarming,Stadsverwarming,106 m²,,In woonwijk,Achtertuin,,,Vrijstaande houten berging,Openbaar parkeren,125.0,,,Woningborg Garantiecertificaat,,,,,,,,,,,,,,,,,,,,,594122.0694973768,True,877.9305026232032,877.9305026232032
https://www.funda.nl/detail/koop/almere/huis-hoge-bergse-bos-1/43357062/,Hoge Bergse Bos,1.0,1358 EC,Almere,Overgooi (brt),1690000.0,€ 5.281,Beschikbaar,"Eengezinswoning, vrijstaande woning",Bestaande bouw,2009,,Samengesteld dak bedekt met pannen,,320 m²,48 m²,,,2.318 m²,1.440 m³,7 kamers (5 slaapkamers),3 badkamers en 2 aparte toiletten,"3 douches, 2 ligbaden, 2 toiletten, en 3 wastafels",3 woonlagen,Elektrische deur en elektra,A,Volledig geïsoleerd,Cv-ketel,Cv-ketel,2.318 m²,Volle eigendom,In woonwijk,Tuin rondom,,,,Op eigen terrein,720.0,46%,€ 5.136,,"Gas gestookt combiketel uit 2019, eigendom",Inpandig,2 auto's,,,,,,,,,,,,,,,,,,1484166.6776777809,True,205833.32232221914,205833.32232221914
https://www.funda.nl/detail/koop/almere/huis-wilgengriend-9/43301992/,Wilgengriend,9.0,1356 JA,Almere,"Klavergriend, Klippriend en Wilgengriend",450000.0,€ 3.409,Beschikbaar,"Eengezinswoning, tussenwoning",Bestaande bouw,1981,,Samengesteld dak,,132 m²,,,7 m²,120 m²,441 m³,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, toilet, en wastafel",3 woonlagen,Elektra,B,"Dakisolatie, dubbel glas, HR-glas en muurisolatie",Cv-ketel,Cv-ketel,120 m²,Volle eigendom,Aan rustige weg en in woonwijk,Achtertuin en voortuin,"30 m² (6,20 meter diep en 4,80 meter breed)",Gelegen op het zuidwesten bereikbaar via achterom,Vrijstaande stenen berging,Openbaar parkeren,910.0,38%,,,"Atag E 325 C (gas gestookt combiketel uit 2013, eigendom)",,,,,Frans balkon aanwezig,,,,,,,,,,,,,,,429407.1612227941,True,20592.838777205907,20592.838777205907
https://www.funda.nl/detail/koop/almere/huis-von-weberstraat-18/89771050/,Von Weberstraat,18.0,1323 BK,Almere,Muziekwijk Z.-Oost,435000.0,€ 4.104,Beschikbaar,"Eengezinswoning, hoekwoning",Bestaande bouw,1989,,Zadeldak bedekt met pannen,,106 m²,16 m²,,,167 m²,468 m³,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Toilet en wastafelmeubel,3 woonlagen,"Elektrische deur, elektra en stromend water",B,"Dakisolatie, gedeeltelijk dubbel glas, muurisolatie en vloerisolatie",Stadsverwarming,Centrale voorziening,167 m²,,"Aan rustige weg, in woonwijk en vrij uitzicht",,,,,Op eigen terrein,2.99,35%,€ 4.128,,,Aangebouwde stenen garage,1 auto,,,,,,,,,,,,,,,,,,426973.5036555034,True,8026.496344496612,8026.496344496612
https://www.funda.nl/detail/koop/almere/huis-sperwer-bouwnr-39/43132930/,Sperwer (Bouwnr. 39),,1358 EL,Almere,Overgooi (brt),1140000.0,€ 5.787,Verkocht onder voorbehoud,"Villa, vrijstaande woning",Nieuwbouw,Na 2020,,,,197 m²,,,,1.504 m²,741 m³,1 kamer,,,1 woonlaag,Zonnepanelen,Niet beschikbaar,Volledig geïsoleerd,,,1.504 m²,,"Aan bosrand, aan rustige weg, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",,,,,Op eigen terrein,720.0,46%,€ 5.136,,,Parkeerplaats,,,,,,,,,,,,,,,,,,,1150030.0301381077,True,-10030.030138107715,10030.030138107715
https://www.funda.nl/detail/koop/almere/huis-vrijstaande-bungalow-bouwnr-336/43251799/,Vrijstaande Bungalow (Bouwnr. 336),,1349 NC,Almere,Oosterwold Zuid,681500.0,€ 7.408,Beschikbaar,"Bungalow, vrijstaande woning",Nieuwbouw,2026,,,,92 m²,,,,360 m²,276 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,,Niet beschikbaar,Volledig geïsoleerd,,,360 m²,,In bosrijke omgeving,,,,,Op eigen terrein,3.53,40%,€ 5.670,,,,,,,,,,,,,,,,,,,,,,690020.0459329925,True,-8520.045932992478,8520.045932992478
https://www.funda.nl/detail/koop/almere/huis-tussenwoning-bouwnr-11/89679599/,Tussenwoning (Bouwnr. 11),,1361 BS,Almere,Duin Zuid,770000.0,€ 5.033,Beschikbaar,"Eengezinswoning, tussenwoning",Nieuwbouw,2026,,,,153 m²,,47 m²,5 m²,153 m²,397 m³,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,,3 woonlagen,Elektra,A++,,Stadsverwarming,,153 m²,,,,,,Aangebouwde houten berging,Op eigen terrein,2.055,30%,€ 5.624,,,,,,,,,,,,,,,,,,,,,,780152.2767959993,True,-10152.276795999263,10152.276795999263
